codigo;componente_curricular;ch
LIC_ACC_0008;Atividades Acadêmico-Científico-Culturais;180.0
LIC_ACC_0009;Atividades Acadêmico-Científico-Culturais;200.0
LIC_ELE_0001;Disciplina Eletiva 1;60.0
LIC_ELE_0002;Disciplina Eletiva 2;60.0
LIC_ELE_0003;Disciplina Eletiva 3;60.0
LIC_ELE_0004;Disciplina Eletiva 4;60.0
LIC_ELE_0005;Disciplina Eletiva 5;60.0
LIC_ELE_0006;Disciplina Eletiva 1;40.0
LIC_ELE_0007;Disciplina Eletiva 2;40.0
LIC_ELE_0008;Disciplina Eletiva 3;40.0
LIC_ELE_0009;Disciplina Eletiva 4;40.0
LIC_ELE_0010;Disciplina Eletiva 5;40.0
LIC_ELE_0011;Disciplina Eletiva 6;40.0
LIC_EST_0001;Estágio Supervisionado;100.0
LIC_EST_0002;Estágio Supervisionado;120.0
LIC_EST_0003;Estágio Supervisionado;140.0
LIC_EST_0004;Estágio Supervisionado;160.0
LIC_EST_0005;Estágio Supervisionado;180.0
LIC_EST_0006;Estágio Supervisionado;200.0
LIC_EST_0007;Estágio Supervisionado;240.0
LIC_EST_0008;Estágio Supervisionado;300.0
LIC_EST_0009;Estágio Supervisionado;360.0
LIC_EST_0010;Estágio: Educação Infantil;100.0
LIC_EST_0011;Estágio: Ensino Fundamental- Regular e EJA;100.0
LIC_EST_0012;Estágio: Ensino Médio, na modalidade Normal e Educação Profissional na área de serviços e apoio escolar;100.0
LIC_EST_0013;Estágio: Gestão;100.0
LIC_EST_0014;Estágio Supervisionado I – Docência Na Educação Infantil I;100.0
LIC_EST_0015;Estágio Supervisionado Ii – Docência Nos Anos Iniciais Do Ensino Fundamental;100.0
LIC_EST_0016;Estágio Supervisionado Iii – Docência Nas Disciplinas Pedagógicas Do Ensino Médio;100.0
LIC_EST_0017;Estágio Supervisionado Iv – Gestão Nas Organizações Escolares E Não Escolares;100.0
LIC_EST_0018;Estágio Supervisionado- Docência Na Educação Infantil;100.0
LIC_EST_0019;Estef- Estágio Supervisionado- Docência No Ensino Fundamental;100.0
LIC_EST_0020;Estem- Estágio Supervisionado- Docência No Ensino Médio;60.0
LIC_EST_0021;Estoe- Estágio Supervisionado- Gestão De Organizações Escolares E Não-Escolares;80.0
LIC_EST_0022;Eja83- Práticas Pedagógicas Na EJA;60.0
LIC_EST_0023;Estágio Supervisionado EJA;60.0
LIC_EXT_0001;Projeto de Extensão 1;60.0
LIC_EXT_0002;Projeto de Extensão 2;60.0
LIC_EXT_0003;Projeto de Extensão 3;60.0
LIC_EXT_0004;Projeto de Extensão 4;60.0
LIC_EXT_0005;Projeto de Extensão 5;60.0
LIC_EXT_0006;Atividade Extensionista;40.0
LIC_EXT_0007;Atividade Extensionista;60.0
LIC_EXT_0008;Atividade Extensionista;80.0
LIC_EXT_0009;Atividade Extensionista;120.0
LIC_EXT_0010;Atividade Extensionista;160.0
LIC_EXT_0011;Atividade Extensionista;240.0
LIC_OPT_0001;Disciplina Optativa 1;60.0
LIC_OPT_0002;Disciplina Optativa 2;60.0
LIC_OPT_0003;Disciplina Optativa 3;60.0
LIC_OPT_0004;Disciplina Optativa 4;60.0
LIC_OPT_0005;Disciplina Optativa 5;60.0
LIC_PED_0001;Filosofia e Educação;60.0
LIC_PED_0002;Fundamentos para o ensino de Língua Portuguesa;40.0
LIC_PED_0003;Arte e Educação;40.0
LIC_PED_0004;Introdução à Metodologia da Pesquisa;40.0
LIC_PED_0005;Didática e Práticas Pedagógicas;60.0
LIC_PED_0006;Movimento e Expressão Corporal;60.0
LIC_PED_0007;História da Educação;60.0
LIC_PED_0008;Antropologia e Educação;60.0
LIC_PED_0009;Metodologias para o ensino de Língua Portuguesa;40.0
LIC_PED_0010;Filosofia e Questões Contemporâneas;40.0
LIC_PED_0011;Planejamento e Prática Pedagógica;40.0
LIC_PED_0012;Educação e Movimentos Sociais;40.0
LIC_PED_0013;Psicologia na Educação;60.0
LIC_PED_0014;História da Educação II;60.0
LIC_PED_0015;Intertextualidades: linguagem verbal e não verbal;40.0
LIC_PED_0016;Currículo e Educação;40.0
LIC_PED_0017;Tópicos especiais em educação não formal;40.0
LIC_PED_0018;Fundamentos e Metodologias para o ensino de Matemática I;40.0
LIC_PED_0019;Fundamentos e Metodologias para o ensino de Ciências Naturais I;40.0
LIC_PED_0020;Fundamentos e Metodologias para o ensino de Geografia I;40.0
LIC_PED_0021;Psicologia do Desenvolvimento e da Aprendizagem;60.0
LIC_PED_0022;Sociologia da Educação;60.0
LIC_PED_0023;Tecnologias digitais na educação;60.0
LIC_PED_0024;Fundamentos e Metodologias para a Educação Infantil;40.0
LIC_PED_0025;Introdução à literatura Infanto-Juvenil;40.0
LIC_PED_0026;Fundamentos e Metodologias para o ensino de Geografia II;40.0
LIC_PED_0027;Fundamentos e Metodologias para o ensino de Matemática II;40.0
LIC_PED_0028;Fundamentos e Metodologias para o ensino de Ciências Naturais II;40.0
LIC_PED_0029;Avaliação da Aprendizagem: questões teóricas e práticas;40.0
LIC_PED_0030;Língua Brasileira de Sinais-LIBRAS;60.0
LIC_PED_0031;Alfabetização I;60.0
LIC_PED_0032;Fundamentos e Metodologias para o ensino de História I;40.0
LIC_PED_0033;Práticas Pedagógicas na Educação Infantil;40.0
LIC_PED_0034;Fundamentos e Metodologias para Educação de Jovens e Adultos;40.0
LIC_PED_0035;Fundamentos e Metodologias para o Ensino Fundamental;40.0
LIC_PED_0036;Fundamentos e Metodologias para Educação Especial e Inclusão;60.0
LIC_PED_0037;Alfabetização II;60.0
LIC_PED_0038;Práticas Pedagógicas na Educação Especial e Inclusão;60.0
LIC_PED_0039;Práticas Pedagógicas no Ensino Fundamental;40.0
LIC_PED_0040;Fundamentos e Metodologias para o ensino de História II;40.0
LIC_PED_0041;Música e Educação;40.0
LIC_PED_0042;Práticas Pedagógicas na Educação de Jovens e Adultos;60.0
LIC_PED_0043;Pesquisa I;60.0
LIC_PED_0044;Fundamentos e Metodologias para o Ensino Médio;40.0
LIC_PED_0045;Tópicos especiais na Educação do Campo/Quilombola/Indígena;40.0
LIC_PED_0046;Tópicos especiais na Educação a Distância;40.0
LIC_PED_0047;Pesquisa II;60.0
LIC_PED_0048;Fundamentos e Princípios da Gestão da Educação;40.0
LIC_PED_0049;Gestão e Organização do Trabalho na Educação;60.0
LIC_PED_0050;Política, Estado e Educação;60.0
LIC_PED_0051;Educação das Relações Étnico-Raciais;60.0
LIC_PED_0052;Fundamentos Da Pesquisa Pedagógica I;60.0
LIC_PED_0055;Fundamentos Psicológicos Da Educação;60.0
LIC_PED_0056;Português Instrumental;60.0
LIC_PED_0057;Didática Geral E Prática Educativa;60.0
LIC_PED_0058;Fundamentos Da Pesquisa Pedagógica Ii;60.0
LIC_PED_0059;Pedagogia Institucional;60.0
LIC_PED_0060;Legislação Do Ensino No Brasil;40.0
LIC_PED_0061;Fundamentos Sociológicos Da Educação;60.0
LIC_PED_0062;Didática E Teorias Da Aprendizagem;40.0
LIC_PED_0063;Fundamentos Da Pesquisa Pedagógica Iii;60.0
LIC_PED_0064;Fundamentos Antropológicos Da Educação;60.0
LIC_PED_0065;Políticas Públicas E Gestão Da Educação Básica;60.0
LIC_PED_0066;Teorias Do Currículo;60.0
LIC_PED_0067;Relações Étnico-Raciais;60.0
LIC_PED_0068;Fundamentos E Metodologias Da Educação Inclusiva;60.0
LIC_PED_0069;Ensino-Aprendizagem A Partir Das Tecnologias Digitais Da Informação E Comunicação;40.0
LIC_PED_0070;Pesquisa E Prática Aplicada À Educação Infantil;60.0
LIC_PED_0071;Corpo E Movimento Na Educação Infantil;40.0
LIC_PED_0072;Processos De Aprendizagem Da Leitura E Da Escrita;60.0
LIC_PED_0073;Pedagogia Da Educação Infantil;60.0
LIC_PED_0074;Gestão E Orientação Do Trabalho Pedagógico Na Educação Infantil;60.0
LIC_PED_0075;Pesquisa E Prática Aplicada Ao Ensino Fundamental;60.0
LIC_PED_0077;Leitura E Produção De Texto;60.0
LIC_PED_0078;Fundamentos E Metodologia Do Ensino De Língua Portuguesa;60.0
LIC_PED_0079;Fundamentos E Medodologia Do Ensino De Matemática;60.0
LIC_PED_0080;Gestão E Orientação Do Trabalho Pedagógico No Ensino Fundamental;60.0
LIC_PED_0081;Pesquisa E Prática Aplicada Ao Ensino Médio;60.0
LIC_PED_0082;Fundamentos E Metodologia Do Ensino De Geografia;60.0
